"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GR000016754","HERAKLION, GR","2021-01-01","0.00",,"61","68",
"GR000016754","HERAKLION, GR","2021-01-02","0.00",,"60","68","54"
"GR000016754","HERAKLION, GR","2021-01-03","0.00",,"62","70",
"GR000016754","HERAKLION, GR","2021-01-04","0.00",,"63",,"59"
"GR000016754","HERAKLION, GR","2021-01-05","0.00",,"58","66",
"GR000016754","HERAKLION, GR","2021-01-06","0.00",,"55","62","48"
"GR000016754","HERAKLION, GR","2021-01-07","0.00",,"56","63","50"
"GR000016754","HERAKLION, GR","2021-01-08","0.00",,"61",,"52"
"GR000016754","HERAKLION, GR","2021-01-09","0.00",,"65",,"60"
"GR000016754","HERAKLION, GR","2021-01-10","0.00",,"69",,"63"
"GR000016754","HERAKLION, GR","2021-01-11","0.00",,"71","77",
"GR000016754","HERAKLION, GR","2021-01-12","0.00",,"65","68",
"GR000016754","HERAKLION, GR","2021-01-13","0.00",,"58","62",
"GR000016754","HERAKLION, GR","2021-01-14","0.00",,"53",,
"GR000016754","HERAKLION, GR","2021-01-15","0.03",,"54",,"46"
"GR000016754","HERAKLION, GR","2021-01-16","0.20",,"54","61","50"
"GR000016754","HERAKLION, GR","2021-01-17","0.72","0.8","47",,
"GR000016754","HERAKLION, GR","2021-01-18","0.20",,"45","47","40"
"GR000016754","HERAKLION, GR","2021-01-19","0.65",,"46",,
"GR000016754","HERAKLION, GR","2021-01-20","0.08",,"50",,
"GR000016754","HERAKLION, GR","2021-01-21","0.00",,"53",,"45"
"GR000016754","HERAKLION, GR","2021-01-22","0.00",,"54",,
"GR000016754","HERAKLION, GR","2021-01-23","0.00",,"57","62","50"
"GR000016754","HERAKLION, GR","2021-01-24","0.00",,"60","64",
"GR000016754","HERAKLION, GR","2021-01-25","0.00",,"62",,
"GR000016754","HERAKLION, GR","2021-01-26","0.00",,"61",,
"GR000016754","HERAKLION, GR","2021-01-27","0.41",,"52",,
"GR000016754","HERAKLION, GR","2021-01-28","0.14",,"49",,
"GR000016754","HERAKLION, GR","2021-01-29","0.02",,"53","61",
"GR000016754","HERAKLION, GR","2021-01-30","0.00",,"62","68",
"GR000016754","HERAKLION, GR","2021-01-31","0.00",,"59","70",
"GR000016754","HERAKLION, GR","2021-02-01","0.00",,"63",,
"GR000016754","HERAKLION, GR","2021-02-02","0.00",,"58","63","54"
"GR000016754","HERAKLION, GR","2021-02-03","0.00",,"57","63",
"GR000016754","HERAKLION, GR","2021-02-04","0.00",,"57","64","49"
"GR000016754","HERAKLION, GR","2021-02-05","0.00",,"56","63",
"GR000016754","HERAKLION, GR","2021-02-06","0.00",,"59",,"49"
"GR000016754","HERAKLION, GR","2021-02-07","0.00",,"63",,"52"
"GR000016754","HERAKLION, GR","2021-02-08","0.00",,"64","72",
"GR000016754","HERAKLION, GR","2021-02-09","0.00",,"60",,"54"
"GR000016754","HERAKLION, GR","2021-02-10","0.00",,"59",,"55"
"GR000016754","HERAKLION, GR","2021-02-13",,,"59",,
"GR000016754","HERAKLION, GR","2021-02-14","0.00",,"58",,
"GR000016754","HERAKLION, GR","2021-02-15","0.67",,"47",,
"GR000016754","HERAKLION, GR","2021-02-16","0.71",,"44","47",
"GR000016754","HERAKLION, GR","2021-02-17","0.34","0.4","44","47","41"
"GR000016754","HERAKLION, GR","2021-02-18","0.08",,"49","59",
"GR000016754","HERAKLION, GR","2021-02-19","0.00",,"52",,
"GR000016754","HERAKLION, GR","2021-02-21",,,"52","57",
"GR000016754","HERAKLION, GR","2021-02-22","0.49","0.4","55",,
"GR000016754","HERAKLION, GR","2021-02-23","0.00",,"54","61",
"GR000016754","HERAKLION, GR","2021-02-24","0.00",,"58","64","48"
"GR000016754","HERAKLION, GR","2021-02-25","0.00",,"57",,
"GR000016754","HERAKLION, GR","2021-02-26","0.00",,"56","61",
"GR000016754","HERAKLION, GR","2021-02-27","0.00",,"55",,"46"
"GR000016754","HERAKLION, GR","2021-02-28","0.00",,"57","63",
"GR000016754","HERAKLION, GR","2021-03-01","0.00",,"55","58","53"
"GR000016754","HERAKLION, GR","2021-03-02","0.00",,"54","58",
"GR000016754","HERAKLION, GR","2021-03-03","0.04",,"55","58",
"GR000016754","HERAKLION, GR","2021-03-04","0.00",,"56","62",
"GR000016754","HERAKLION, GR","2021-03-05","0.00",,"55",,"42"
"GR000016754","HERAKLION, GR","2021-03-06","0.00",,"59","72",
"GR000016754","HERAKLION, GR","2021-03-07","0.00",,"57",,"50"
"GR000016754","HERAKLION, GR","2021-03-08","0.00",,"55",,"51"
"GR000016754","HERAKLION, GR","2021-03-09","0.06",,"58","64","50"
"GR000016754","HERAKLION, GR","2021-03-10","0.00",,"60","65",
"GR000016754","HERAKLION, GR","2021-03-11","0.00",,"56",,"52"
"GR000016754","HERAKLION, GR","2021-03-12","0.02",,"54","57",
"GR000016754","HERAKLION, GR","2021-03-13","0.00",,"55","63","46"
"GR000016754","HERAKLION, GR","2021-03-14","0.00",,"58","61","53"
"GR000016754","HERAKLION, GR","2021-03-15","0.02",,"59","69","52"
"GR000016754","HERAKLION, GR","2021-03-16","0.00",,"56","65",
"GR000016754","HERAKLION, GR","2021-03-17","0.14",,"55",,"50"
"GR000016754","HERAKLION, GR","2021-03-18","0.00",,"54",,
"GR000016754","HERAKLION, GR","2021-03-19","0.00",,"58","68","49"
"GR000016754","HERAKLION, GR","2021-03-20","0.29",,"62","69",
"GR000016754","HERAKLION, GR","2021-03-21","0.00",,"67",,"59"
"GR000016754","HERAKLION, GR","2021-03-22","0.00",,"61","67",
"GR000016754","HERAKLION, GR","2021-03-23","0.04",,"55","63",
"GR000016754","HERAKLION, GR","2021-03-24","1.09",,"50",,
"GR000016754","HERAKLION, GR","2021-03-25","0.16",,"46",,
"GR000016754","HERAKLION, GR","2021-03-26","0.18",,"51",,"43"
"GR000016754","HERAKLION, GR","2021-03-27","0.00",,"54",,"45"
"GR000016754","HERAKLION, GR","2021-03-28","0.00",,"54",,"44"
"GR000016754","HERAKLION, GR","2021-03-29","0.00",,"55",,
"GR000016754","HERAKLION, GR","2021-03-30","0.00",,"58",,"49"
"GR000016754","HERAKLION, GR","2021-03-31","0.00",,"52",,
"GR000016754","HERAKLION, GR","2021-04-01","1.28","0.8","52","58",
"GR000016754","HERAKLION, GR","2021-04-02","0.00",,"56",,"48"
"GR000016754","HERAKLION, GR","2021-04-03","0.00",,"61","70","54"
"GR000016754","HERAKLION, GR","2021-04-04","0.00",,"69",,"55"
"GR000016754","HERAKLION, GR","2021-04-05","0.00",,"74",,
"GR000016754","HERAKLION, GR","2021-04-06","0.00",,"68",,
"GR000016754","HERAKLION, GR","2021-04-07","0.00",,"60",,
"GR000016754","HERAKLION, GR","2021-04-08","0.00",,"61",,
"GR000016754","HERAKLION, GR","2021-04-09","0.02",,"55","59",
"GR000016754","HERAKLION, GR","2021-04-10","0.00",,"55","59",
"GR000016754","HERAKLION, GR","2021-04-11","0.00",,"56","61",
"GR000016754","HERAKLION, GR","2021-04-12","0.00",,"57","64",
"GR000016754","HERAKLION, GR","2021-04-13","0.00",,"58",,
"GR000016754","HERAKLION, GR","2021-04-14","0.00",,"65","78","54"
"GR000016754","HERAKLION, GR","2021-04-15","0.00",,"62","67",
"GR000016754","HERAKLION, GR","2021-04-16","0.00",,"61",,"54"
"GR000016754","HERAKLION, GR","2021-04-17","0.00",,"74",,"62"
"GR000016754","HERAKLION, GR","2021-04-18","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-04-19","0.00",,"62","66",
"GR000016754","HERAKLION, GR","2021-04-20","0.00",,"61",,
"GR000016754","HERAKLION, GR","2021-04-21","0.00",,"58","65",
"GR000016754","HERAKLION, GR","2021-04-22","0.00",,"59","68","50"
"GR000016754","HERAKLION, GR","2021-04-23","0.00",,"61",,"50"
"GR000016754","HERAKLION, GR","2021-04-24","0.00",,"63","70","55"
"GR000016754","HERAKLION, GR","2021-04-25","0.00",,"62",,
"GR000016754","HERAKLION, GR","2021-04-26","0.00",,"61","66",
"GR000016754","HERAKLION, GR","2021-04-27","0.00",,"60",,"48"
"GR000016754","HERAKLION, GR","2021-04-28","0.00",,"77",,"55"
"GR000016754","HERAKLION, GR","2021-04-29","0.00",,"80","90",
"GR000016754","HERAKLION, GR","2021-04-30","0.00",,"75",,
"GR000016754","HERAKLION, GR","2021-05-01","0.00",,"74",,
"GR000016754","HERAKLION, GR","2021-05-02","0.00",,"83",,"68"
"GR000016754","HERAKLION, GR","2021-05-03","0.00",,"78",,
"GR000016754","HERAKLION, GR","2021-05-04","0.00",,"70",,
"GR000016754","HERAKLION, GR","2021-05-05","0.00",,"68","75",
"GR000016754","HERAKLION, GR","2021-05-06","0.00",,"70",,
"GR000016754","HERAKLION, GR","2021-05-07","0.00",,"69",,"59"
"GR000016754","HERAKLION, GR","2021-05-08","0.00",,"72",,"65"
"GR000016754","HERAKLION, GR","2021-05-09","0.00",,"68","72",
"GR000016754","HERAKLION, GR","2021-05-10","0.00",,"65",,"63"
"GR000016754","HERAKLION, GR","2021-05-11","0.00",,"65","70",
"GR000016754","HERAKLION, GR","2021-05-12","0.00",,"65",,
"GR000016754","HERAKLION, GR","2021-05-13","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-05-14","0.00",,"66",,
"GR000016754","HERAKLION, GR","2021-05-15","0.00",,"66",,
"GR000016754","HERAKLION, GR","2021-05-16","0.00",,"66","72","57"
"GR000016754","HERAKLION, GR","2021-05-17","0.00",,"67","73","57"
"GR000016754","HERAKLION, GR","2021-05-18","0.00",,"74","84","63"
"GR000016754","HERAKLION, GR","2021-05-19","0.00",,"70","77","63"
"GR000016754","HERAKLION, GR","2021-05-20","0.00",,"71","79","63"
"GR000016754","HERAKLION, GR","2021-05-21","0.00",,"67","72",
"GR000016754","HERAKLION, GR","2021-05-22","0.00",,"66","72","55"
"GR000016754","HERAKLION, GR","2021-05-23","0.00",,"67","75","57"
"GR000016754","HERAKLION, GR","2021-05-24","0.00",,"71",,"59"
"GR000016754","HERAKLION, GR","2021-05-25","0.00",,"73","82","64"
"GR000016754","HERAKLION, GR","2021-05-26","0.00",,"75","83",
"GR000016754","HERAKLION, GR","2021-05-27","0.00",,"72","79","63"
"GR000016754","HERAKLION, GR","2021-05-28","0.00",,"71","78",
"GR000016754","HERAKLION, GR","2021-05-29","0.00",,"69",,"63"
"GR000016754","HERAKLION, GR","2021-05-30","0.00",,"67","73",
"GR000016754","HERAKLION, GR","2021-05-31","0.02",,"69","77",
"GR000016754","HERAKLION, GR","2021-06-01","0.00",,"70",,
"GR000016754","HERAKLION, GR","2021-06-02","0.00",,"67","76","57"
"GR000016754","HERAKLION, GR","2021-06-03","0.00",,"67",,"58"
"GR000016754","HERAKLION, GR","2021-06-04","0.00",,"69","76",
"GR000016754","HERAKLION, GR","2021-06-05","0.00",,"71",,"68"
"GR000016754","HERAKLION, GR","2021-06-06","0.00",,"72",,
"GR000016754","HERAKLION, GR","2021-06-07","0.00",,"74",,
"GR000016754","HERAKLION, GR","2021-06-08","0.00",,"76","82",
"GR000016754","HERAKLION, GR","2021-06-09","0.00",,"73","79","64"
"GR000016754","HERAKLION, GR","2021-06-10","0.00",,"72",,
"GR000016754","HERAKLION, GR","2021-06-11","0.00",,"72","79","64"
"GR000016754","HERAKLION, GR","2021-06-12","0.00",,"72","79",
"GR000016754","HERAKLION, GR","2021-06-13","0.00",,"72","78","65"
"GR000016754","HERAKLION, GR","2021-06-14","0.00",,"71","78","64"
"GR000016754","HERAKLION, GR","2021-06-15","0.35",,"69","75",
"GR000016754","HERAKLION, GR","2021-06-16","0.03",,"70","77","61"
"GR000016754","HERAKLION, GR","2021-06-17","0.00",,"71","78",
"GR000016754","HERAKLION, GR","2021-06-18","0.00",,"71","77","62"
"GR000016754","HERAKLION, GR","2021-06-19","0.00",,"74",,"64"
"GR000016754","HERAKLION, GR","2021-06-20","0.00",,"75",,"67"
"GR000016754","HERAKLION, GR","2021-06-21","0.00",,"78",,
"GR000016754","HERAKLION, GR","2021-06-22","0.00",,"80",,"71"
"GR000016754","HERAKLION, GR","2021-06-23","0.00",,"81",,"73"
"GR000016754","HERAKLION, GR","2021-06-24","0.00",,"82","88","73"
"GR000016754","HERAKLION, GR","2021-06-25","0.00",,"84","90",
"GR000016754","HERAKLION, GR","2021-06-26","0.00",,"85","94","76"
"GR000016754","HERAKLION, GR","2021-06-27","0.00",,"83","92","75"
"GR000016754","HERAKLION, GR","2021-06-28","0.00",,"83",,
"GR000016754","HERAKLION, GR","2021-06-29","0.00",,"85",,"80"
"GR000016754","HERAKLION, GR","2021-06-30","0.00",,"84",,
"GR000016754","HERAKLION, GR","2021-07-01","0.00",,"88","97",
"GR000016754","HERAKLION, GR","2021-07-02","0.00",,"85",,
"GR000016754","HERAKLION, GR","2021-07-03","0.00",,"82",,
"GR000016754","HERAKLION, GR","2021-07-04","0.00",,"78",,"71"
"GR000016754","HERAKLION, GR","2021-07-05","0.00",,"78","86","69"
"GR000016754","HERAKLION, GR","2021-07-06","0.00",,"80",,
"GR000016754","HERAKLION, GR","2021-07-07","0.00",,"83",,"79"
"GR000016754","HERAKLION, GR","2021-07-08","0.00",,"82","85",
"GR000016754","HERAKLION, GR","2021-07-09","0.00",,"80",,"78"
"GR000016754","HERAKLION, GR","2021-07-10","0.00",,"81",,"78"
"GR000016754","HERAKLION, GR","2021-07-11","0.00",,"81","86","77"
"GR000016754","HERAKLION, GR","2021-07-12","0.00",,"82","86",
"GR000016754","HERAKLION, GR","2021-07-13","0.00",,"83",,"78"
"GR000016754","HERAKLION, GR","2021-07-14","0.00",,"83","88",
"GR000016754","HERAKLION, GR","2021-07-15","0.00",,"83",,
"GR000016754","HERAKLION, GR","2021-07-16","0.00",,"81",,
"GR000016754","HERAKLION, GR","2021-07-17","0.00",,"80","86","70"
"GR000016754","HERAKLION, GR","2021-07-18","0.00",,"79","86",
"GR000016754","HERAKLION, GR","2021-07-19","0.00",,"79","86","72"
"GR000016754","HERAKLION, GR","2021-07-20","0.00",,"80",,"71"
"GR000016754","HERAKLION, GR","2021-07-21","0.00",,"80","85","73"
"GR000016754","HERAKLION, GR","2021-07-22","0.00",,"82",,"79"
"GR000016754","HERAKLION, GR","2021-07-23","0.00",,"80","83",
"GR000016754","HERAKLION, GR","2021-07-24","0.00",,"80","82",
"GR000016754","HERAKLION, GR","2021-07-25","0.00",,"79","82","75"
"GR000016754","HERAKLION, GR","2021-07-26","0.00",,"79",,
"GR000016754","HERAKLION, GR","2021-07-27","0.00",,"80",,"73"
"GR000016754","HERAKLION, GR","2021-07-28","0.00",,"81",,"73"
"GR000016754","HERAKLION, GR","2021-07-29","0.00",,"84",,
"GR000016754","HERAKLION, GR","2021-07-30","0.00",,"87",,
"GR000016754","HERAKLION, GR","2021-07-31","0.00",,"88",,"79"
"GR000016754","HERAKLION, GR","2021-08-01","0.00",,"85","91","77"
"GR000016754","HERAKLION, GR","2021-08-02","0.00",,"88",,
"GR000016754","HERAKLION, GR","2021-08-03","0.00",,"91","99",
"GR000016754","HERAKLION, GR","2021-08-04","0.00",,"87",,"81"
"GR000016754","HERAKLION, GR","2021-08-05","0.00",,"88",,
"GR000016754","HERAKLION, GR","2021-08-06","0.00",,"91","105","82"
"GR000016754","HERAKLION, GR","2021-08-07","0.00",,"83",,"81"
"GR000016754","HERAKLION, GR","2021-08-08","0.00",,"83","86","79"
"GR000016754","HERAKLION, GR","2021-08-09","0.00",,"84","88","80"
"GR000016754","HERAKLION, GR","2021-08-10","0.00",,"85","90","76"
"GR000016754","HERAKLION, GR","2021-08-11","0.00",,"87","92",
"GR000016754","HERAKLION, GR","2021-08-12","0.00",,"83",,"78"
"GR000016754","HERAKLION, GR","2021-08-13","0.00",,"82","86",
"GR000016754","HERAKLION, GR","2021-08-14","0.00",,"80",,
"GR000016754","HERAKLION, GR","2021-08-15","0.00",,"79","82",
"GR000016754","HERAKLION, GR","2021-08-16","0.00",,"77",,"68"
"GR000016754","HERAKLION, GR","2021-08-17","0.00",,"77",,"67"
"GR000016754","HERAKLION, GR","2021-08-18","0.00",,"80","88",
"GR000016754","HERAKLION, GR","2021-08-19","0.00",,"80",,"73"
"GR000016754","HERAKLION, GR","2021-08-20","0.00",,"81","84","76"
"GR000016754","HERAKLION, GR","2021-08-21","0.00",,"81","86",
"GR000016754","HERAKLION, GR","2021-08-22","0.00",,"80",,
"GR000016754","HERAKLION, GR","2021-08-23","0.00",,"79","82",
"GR000016754","HERAKLION, GR","2021-08-24","0.00",,"79",,
"GR000016754","HERAKLION, GR","2021-08-25","0.00",,"76",,
"GR000016754","HERAKLION, GR","2021-08-26","0.00",,"79","88","68"
"GR000016754","HERAKLION, GR","2021-08-27","0.00",,"83","91","75"
"GR000016754","HERAKLION, GR","2021-08-28","0.00",,"80","86",
"GR000016754","HERAKLION, GR","2021-08-29","0.00",,"80",,"73"
"GR000016754","HERAKLION, GR","2021-08-30","0.00",,"81","86",
"GR000016754","HERAKLION, GR","2021-08-31","0.00",,"78","84","70"
"GR000016754","HERAKLION, GR","2021-09-01","0.00",,"78","85","69"
"GR000016754","HERAKLION, GR","2021-09-02","0.00",,"78",,
"GR000016754","HERAKLION, GR","2021-09-03","0.00",,"78","82","75"
"GR000016754","HERAKLION, GR","2021-09-04","0.00",,"78",,"75"
"GR000016754","HERAKLION, GR","2021-09-05","0.00",,"78",,"75"
"GR000016754","HERAKLION, GR","2021-09-06","0.00",,"77",,
"GR000016754","HERAKLION, GR","2021-09-07","0.00",,"75",,
"GR000016754","HERAKLION, GR","2021-09-08","0.00",,"75",,"70"
"GR000016754","HERAKLION, GR","2021-09-09","0.02",,"74",,
"GR000016754","HERAKLION, GR","2021-09-10","0.00",,"74","79","70"
"GR000016754","HERAKLION, GR","2021-09-11","0.00",,"73",,
"GR000016754","HERAKLION, GR","2021-09-12","0.00",,"73",,"64"
"GR000016754","HERAKLION, GR","2021-09-13","0.00",,"74","81",
"GR000016754","HERAKLION, GR","2021-09-14","0.00",,"76","81",
"GR000016754","HERAKLION, GR","2021-09-15","0.00",,"78",,"75"
"GR000016754","HERAKLION, GR","2021-09-16","0.00",,"77",,
"GR000016754","HERAKLION, GR","2021-09-17","0.00",,"76",,
"GR000016754","HERAKLION, GR","2021-09-18","0.00",,"80","88","71"
"GR000016754","HERAKLION, GR","2021-09-19","0.00",,"82",,"73"
"GR000016754","HERAKLION, GR","2021-09-20","0.00",,"83","90",
"GR000016754","HERAKLION, GR","2021-09-21","0.00",,"80",,
"GR000016754","HERAKLION, GR","2021-09-22","0.00",,"75",,"68"
"GR000016754","HERAKLION, GR","2021-09-23","0.02",,"71",,
"GR000016754","HERAKLION, GR","2021-09-24","0.12",,"69",,
"GR000016754","HERAKLION, GR","2021-09-25","0.00",,"70","79","60"
"GR000016754","HERAKLION, GR","2021-09-26","0.00",,"72",,"62"
"GR000016754","HERAKLION, GR","2021-09-27","0.00",,"75","81","64"
"GR000016754","HERAKLION, GR","2021-09-28","0.00",,"75",,"68"
"GR000016754","HERAKLION, GR","2021-09-29","0.00",,"74",,
"GR000016754","HERAKLION, GR","2021-09-30","0.00",,"72","75",
"GR000016754","HERAKLION, GR","2021-10-01","0.00",,"70","72",
"GR000016754","HERAKLION, GR","2021-10-02","0.00",,"69",,"68"
"GR000016754","HERAKLION, GR","2021-10-03","0.00",,"69",,
"GR000016754","HERAKLION, GR","2021-10-04","0.00",,"69",,"67"
"GR000016754","HERAKLION, GR","2021-10-05","0.00",,"69",,"68"
"GR000016754","HERAKLION, GR","2021-10-06","0.00",,"69","72",
"GR000016754","HERAKLION, GR","2021-10-07","0.00",,"67",,"60"
"GR000016754","HERAKLION, GR","2021-10-08","0.00",,"72","86",
"GR000016754","HERAKLION, GR","2021-10-09","0.00",,"72","79",
"GR000016754","HERAKLION, GR","2021-10-10","0.00",,"71","77","63"
"GR000016754","HERAKLION, GR","2021-10-11","0.00",,"73","81","68"
"GR000016754","HERAKLION, GR","2021-10-12","0.01",,"69",,
"GR000016754","HERAKLION, GR","2021-10-13","0.09",,"69","75","60"
"GR000016754","HERAKLION, GR","2021-10-14","0.00",,"69",,"64"
"GR000016754","HERAKLION, GR","2021-10-15","1.21","1.2","71",,
"GR000016754","HERAKLION, GR","2021-10-16","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-10-17","0.00",,"68","74",
"GR000016754","HERAKLION, GR","2021-10-18","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-10-19","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-10-20","0.00",,"67",,
"GR000016754","HERAKLION, GR","2021-10-21","0.00",,"63","71",
"GR000016754","HERAKLION, GR","2021-10-22","0.00",,"67","74","56"
"GR000016754","HERAKLION, GR","2021-10-23","0.00",,"67","74","59"
"GR000016754","HERAKLION, GR","2021-10-24","0.00",,"68","75","60"
"GR000016754","HERAKLION, GR","2021-10-25","0.01",,"66","69",
"GR000016754","HERAKLION, GR","2021-10-26","0.01",,"62",,
"GR000016754","HERAKLION, GR","2021-10-27","0.72",,"63",,"59"
"GR000016754","HERAKLION, GR","2021-10-28","0.00",,"65",,"61"
"GR000016754","HERAKLION, GR","2021-10-29","0.00",,"64",,"60"
"GR000016754","HERAKLION, GR","2021-10-30","0.00",,"64","67",
"GR000016754","HERAKLION, GR","2021-10-31","0.00",,"63","66","57"
"GR000016754","HERAKLION, GR","2021-11-01","0.16",,"63","68",
"GR000016754","HERAKLION, GR","2021-11-02","0.00",,"68",,"55"
"GR000016754","HERAKLION, GR","2021-11-03","0.00",,"70","75",
"GR000016754","HERAKLION, GR","2021-11-04","0.00",,"68",,
"GR000016754","HERAKLION, GR","2021-11-05","0.00",,"66",,
"GR000016754","HERAKLION, GR","2021-11-06","0.00",,"65","72","58"
"GR000016754","HERAKLION, GR","2021-11-07","0.00",,"67","72","63"
"GR000016754","HERAKLION, GR","2021-11-08","0.00",,"65",,
"GR000016754","HERAKLION, GR","2021-11-09","0.00",,"64",,"57"
"GR000016754","HERAKLION, GR","2021-11-10","0.20",,"65",,
"GR000016754","HERAKLION, GR","2021-11-11","0.00",,"62","65",
"GR000016754","HERAKLION, GR","2021-11-12","0.00",,"63","67",
"GR000016754","HERAKLION, GR","2021-11-13","0.00",,"64","68","59"
"GR000016754","HERAKLION, GR","2021-11-14","0.00",,"63",,
"GR000016754","HERAKLION, GR","2021-11-15","0.00",,"64","68","58"
"GR000016754","HERAKLION, GR","2021-11-16","0.00",,"63",,
"GR000016754","HERAKLION, GR","2021-11-17","0.04",,"63",,
"GR000016754","HERAKLION, GR","2021-11-18","0.01",,"60","65",
"GR000016754","HERAKLION, GR","2021-11-19","0.00",,"60","65","54"
"GR000016754","HERAKLION, GR","2021-11-20","0.00",,"60",,"59"
"GR000016754","HERAKLION, GR","2021-11-21","0.00",,"60","65",
"GR000016754","HERAKLION, GR","2021-11-22","0.00",,"62",,
"GR000016754","HERAKLION, GR","2021-11-23","0.00",,"68","77","62"
"GR000016754","HERAKLION, GR","2021-11-24","0.00",,"64","68",
"GR000016754","HERAKLION, GR","2021-11-25","0.01",,"59",,
"GR000016754","HERAKLION, GR","2021-11-26","0.00",,"66",,"54"
"GR000016754","HERAKLION, GR","2021-11-27","0.01",,"68",,"61"
"GR000016754","HERAKLION, GR","2021-11-28","0.00",,"69",,"62"
"GR000016754","HERAKLION, GR","2021-11-29","0.00",,"73",,
"GR000016754","HERAKLION, GR","2021-11-30","0.00",,"63","69",
"GR000016754","HERAKLION, GR","2021-12-01","0.04",,"59",,
"GR000016754","HERAKLION, GR","2021-12-02","0.00",,"59","70","50"
"GR000016754","HERAKLION, GR","2021-12-03","0.00",,"63","66","58"
"GR000016754","HERAKLION, GR","2021-12-04","0.06",,"61","68",
"GR000016754","HERAKLION, GR","2021-12-05","0.91",,"60",,"52"
"GR000016754","HERAKLION, GR","2021-12-06","0.00",,"61",,
"GR000016754","HERAKLION, GR","2021-12-07","0.25",,"56",,
"GR000016754","HERAKLION, GR","2021-12-08","0.05",,"57","61",
"GR000016754","HERAKLION, GR","2021-12-09","0.04",,"60",,"50"
"GR000016754","HERAKLION, GR","2021-12-10","0.00",,"62","68",
"GR000016754","HERAKLION, GR","2021-12-11","0.00",,"62","67","56"
"GR000016754","HERAKLION, GR","2021-12-12","0.00",,"62",,
